,timestamp,car_no,truck_no,bus_no,motorcycle_no
5638,2024-11-02 12:27:02,0,1,0,0
5639,2024-11-02 12:27:04,0,1,0,0
5640,2024-11-02 12:27:24,0,1,0,0
5641,2024-11-02 12:28:07,0,1,0,0
5642,2024-11-02 12:31:08,0,1,0,0
5643,2024-11-02 12:31:08,0,1,0,0
5644,2024-11-02 12:35:01,0,1,0,0
5645,2024-11-02 12:35:33,1,0,0,0
5646,2024-11-02 12:38:24,1,0,0,0
5647,2024-11-02 12:42:05,0,1,0,0
5648,2024-11-02 12:42:11,0,1,0,0
5649,2024-11-02 12:43:55,0,1,0,0
5650,2024-11-02 12:49:03,1,0,0,0
5651,2024-11-02 12:52:01,0,1,0,0
5652,2024-11-02 12:52:18,0,1,0,0
5653,2024-11-02 12:59:10,1,0,0,0
5654,2024-11-02 12:59:31,1,0,0,0
5655,2024-11-02 12:59:58,0,1,0,0
5656,2024-11-02 13:01:12,1,0,0,0
5657,2024-11-02 13:03:44,1,0,0,0
5658,2024-11-02 13:04:16,1,0,0,0
5659,2024-11-02 13:07:23,1,0,0,0
5660,2024-11-02 13:12:24,0,1,0,0
5661,2024-11-02 13:14:32,1,0,0,0
5662,2024-11-02 13:14:47,1,0,0,0
5663,2024-11-02 13:15:07,1,0,0,0
5664,2024-11-02 13:17:06,1,0,0,0
5665,2024-11-02 13:18:09,1,0,0,0
5666,2024-11-02 13:18:41,0,1,0,0
5667,2024-11-02 13:26:27,0,1,0,0
5668,2024-11-02 13:27:01,0,1,0,0
5669,2024-11-02 13:27:16,1,0,0,0
5670,2024-11-02 13:30:52,0,1,0,0
5671,2024-11-02 13:30:56,0,0,1,0
5672,2024-11-02 13:33:17,1,0,0,0
5673,2024-11-02 13:34:21,1,0,0,0
5674,2024-11-02 13:43:14,1,0,0,0
5675,2024-11-02 13:47:29,1,0,0,0
5676,2024-11-02 13:48:26,0,1,0,0
5677,2024-11-02 13:50:21,1,0,0,0
5678,2024-11-02 13:51:22,0,1,0,0
5679,2024-11-02 13:55:02,1,0,0,0
5680,2024-11-02 13:56:13,0,1,0,0
5681,2024-11-02 14:00:11,1,0,0,0
5682,2024-11-02 14:02:22,0,1,0,0
5683,2024-11-02 14:02:26,0,1,0,0
5684,2024-11-02 14:02:47,1,0,0,0
5685,2024-11-02 14:05:04,0,1,0,0
5686,2024-11-02 14:15:37,0,1,0,0
5687,2024-11-02 14:15:39,0,1,0,0
5688,2024-11-02 14:17:21,1,0,0,0
5689,2024-11-02 14:21:06,0,1,0,0
5690,2024-11-02 14:21:26,0,1,0,0
5691,2024-11-02 14:21:57,1,0,0,0
5692,2024-11-02 14:24:33,1,0,0,0
5693,2024-11-02 14:27:53,0,1,0,0
5694,2024-11-02 14:30:20,1,0,0,0
5695,2024-11-02 14:32:11,1,0,0,0
5696,2024-11-02 14:42:01,0,1,0,0
5697,2024-11-02 14:42:27,0,1,0,0
5698,2024-11-02 14:43:45,1,0,0,0
5699,2024-11-02 14:48:32,1,0,0,0
5700,2024-11-02 14:53:53,0,1,0,0
5701,2024-11-02 15:01:02,1,0,0,0
5702,2024-11-02 15:01:31,0,1,0,0
5703,2024-11-02 15:05:47,0,1,0,0
5704,2024-11-02 15:06:11,1,0,0,0
5705,2024-11-02 15:07:02,1,0,0,0
5706,2024-11-02 15:13:04,1,0,0,0
5707,2024-11-02 15:15:50,1,0,0,0
5708,2024-11-02 15:16:18,0,1,0,0
5709,2024-11-02 15:22:34,1,0,0,0
5710,2024-11-02 15:23:37,1,0,0,0
5711,2024-11-02 15:25:29,1,0,0,0
5712,2024-11-02 15:27:29,1,0,0,0
5713,2024-11-02 15:28:13,0,1,0,0
5714,2024-11-02 15:28:48,0,1,0,0
5715,2024-11-02 15:29:09,0,1,0,0
5716,2024-11-02 15:32:33,1,0,0,0
5717,2024-11-02 15:51:46,1,0,0,0
5718,2024-11-02 15:55:08,1,0,0,0
5719,2024-11-02 16:01:33,1,0,0,0
5720,2024-11-02 16:02:41,1,0,0,0
5721,2024-11-02 16:03:27,1,0,0,0
5722,2024-11-02 16:04:54,0,1,0,0
5723,2024-11-02 16:05:34,1,0,0,0
5724,2024-11-02 16:08:16,1,0,0,0
5725,2024-11-02 16:15:38,0,1,0,0
5726,2024-11-02 16:26:33,0,1,0,0
5727,2024-11-02 16:32:53,0,1,0,0
5728,2024-11-02 16:36:12,0,1,0,0
5729,2024-11-02 16:42:10,1,0,0,0
5730,2024-11-02 16:45:26,1,0,0,0
5731,2024-11-02 16:46:08,1,0,0,0
5732,2024-11-02 16:46:08,0,1,0,0
5733,2024-11-02 16:46:24,0,1,0,0
5734,2024-11-02 16:47:30,0,1,0,0
5735,2024-11-02 16:51:26,1,0,0,0
5736,2024-11-02 16:51:42,1,0,0,0
5737,2024-11-02 16:54:47,1,0,0,0
5738,2024-11-02 17:00:31,1,0,0,0
5739,2024-11-02 17:05:01,0,1,0,0
5740,2024-11-02 17:06:14,1,0,0,0
5741,2024-11-02 17:09:13,1,0,0,0
5742,2024-11-02 17:21:44,0,1,0,0
5743,2024-11-02 17:25:08,1,0,0,0
5744,2024-11-02 17:29:43,1,0,0,0
5745,2024-11-02 17:31:43,1,0,0,0
5746,2024-11-02 17:34:58,0,1,0,0
5747,2024-11-02 17:35:59,0,1,0,0
5748,2024-11-02 17:36:55,1,0,0,0
5749,2024-11-02 17:38:15,0,1,0,0
5750,2024-11-02 17:39:23,1,0,0,0
5751,2024-11-02 17:40:39,0,1,0,0
5752,2024-11-02 17:42:09,1,0,0,0
5753,2024-11-02 17:44:23,1,0,0,0
5754,2024-11-02 17:44:53,0,1,0,0
5755,2024-11-02 17:48:20,1,0,0,0
5756,2024-11-02 17:49:39,1,0,0,0
5757,2024-11-02 17:49:58,0,1,0,0
5758,2024-11-02 17:52:55,1,0,0,0
